1.09648e+22  5.08045 17.1865  122.393 0.0290394
1.07152e+22  5.06639 17.1086  120.54 0.0285587
1.04713e+22  5.05272 17.0331  121.416 0.0289692
1.02329e+22  5.03944 16.96  123.263 0.0293573
1e+22  5.02652 16.8892  120.924 0.0303083
9.77237e+21  5.01396 16.8205  118.842 0.02937
9.54993e+21  5.00175 16.7539  119.884 0.029716
9.33254e+21  4.98987 16.6894  119.534 0.0294439
9.12011e+21  4.97832 16.6268  125.566 0.0294922
8.91251e+21  4.96708 16.566  124.952 0.0303013
8.70964e+21  4.95615 16.5071  120.318 0.0300243
8.51138e+21  4.94551 16.45  124.41 0.0309979
8.31764e+21  4.93516 16.3945  125.284 0.0291771
8.12831e+21  4.92509 16.3406  121.173 0.0303047
7.94328e+21  4.91528 16.2883  124.742 0.031008
7.76247e+21  4.90574 16.2375  123.225 0.0295731
7.58578e+21  4.89644 16.1882  124.083 0.0299914
7.4131e+21  4.8874 16.1403  121.696 0.0295839
7.24436e+21  4.87859 16.0938  117.915 0.0296598
7.07946e+21  4.87001 16.0485  118.917 0.0293914
6.91831e+21  4.86166 16.0046  122.036 0.0308144
6.76083e+21  4.85353 15.9619  122.354 0.0295399
6.60693e+21  4.8456 15.9203  120.11 0.0301458
6.45654e+21  4.83789 15.88  122.869 0.0297201
6.30957e+21  4.83037 15.8407  121.958 0.0293971
6.16595e+21  4.82304 15.8025  121.658 0.0299213
6.0256e+21  4.81591 15.7654  122.329 0.030219
5.88844e+21  4.80895 15.7293  121.668 0.0297586
5.7544e+21  4.80218 15.6941  117.709 0.0300615
5.62341e+21  4.79557 15.6599  119.029 0.0311604
5.49541e+21  4.78914 15.6267  118.454 0.0310656
5.37032e+21  4.78287 15.5943  120.803 0.0302225
5.24807e+21  4.77675 15.5628  120.893 0.0307323
5.12861e+21  4.77079 15.5321  122.547 0.0307416
5.01187e+21  4.76498 15.5023  122.513 0.0305866
4.89779e+21  4.75932 15.4732  123.479 0.0307638
4.7863e+21  4.7538 15.4449  126.988 0.03038
4.67735e+21  4.74841 15.4174  120.214 0.0311855
4.57088e+21  4.74316 15.3906  122.334 0.0302463
4.46684e+21  4.73804 15.3644  121.556 0.0313537
4.36516e+21  4.73305 15.339  124.35 0.0299263
4.2658e+21  4.72819 15.3142  120.947 0.0301174
4.16869e+21  4.72344 15.2901  121.45 0.0299578
4.0738e+21  4.71881 15.2665  124.118 0.0310414
3.98107e+21  4.71429 15.2436  119.461 0.0304985
3.89045e+21  4.70989 15.2213  118.825 0.0315867
3.80189e+21  4.70559 15.1995  123.537 0.0307772
3.71535e+21  4.7014 15.1783  121.663 0.0304766
3.63078e+21  4.69731 15.1577  121.437 0.0311741
3.54813e+21  4.69332 15.1375  123.43 0.0309915
3.46737e+21  4.68943 15.1179  123.434 0.0311963
3.38844e+21  4.68564 15.0988  122.896 0.0310594
3.31131e+21  4.68193 15.0801  124.012 0.0314374
3.23594e+21  4.67832 15.0619  123.802 0.0308635
3.16228e+21  4.67479 15.0442  118.58 0.0315221
3.0903e+21  4.67135 15.0269  122.265 0.0318073
3.01995e+21  4.66799 15.0101  122.472 0.0316444
2.95121e+21  4.66471 14.9937  124.48 0.0324792
2.88403e+21  4.66152 14.9776  120.08 0.0321276
2.81838e+21  4.6584 14.962  122.147 0.032207
2.75423e+21  4.65535 14.9468  122.301 0.0322808
2.69153e+21  4.65238 14.9319  123.514 0.0317632
2.63027e+21  4.64948 14.9174  119.168 0.0328885
2.5704e+21  4.64665 14.9033  126.103 0.0319487
2.51189e+21  4.64388 14.8895  119.407 0.0321276
2.45471e+21  4.64118 14.8761  121.404 0.030976
2.39883e+21  4.63855 14.8629  125.704 0.0317462
2.34423e+21  4.63598 14.8501  121.967 0.0309338
2.29087e+21  4.63347 14.8377  119.043 0.0315213
2.23872e+21  4.63102 14.8255  124.303 0.0321421
2.18776e+21  4.62863 14.8136  123.814 0.0326348
2.13796e+21  4.6263 14.802  122.425 0.0330602
2.0893e+21  4.62402 14.7907  123.076 0.0324846
2.04174e+21  4.62179 14.7796  122.021 0.0325073
1.99526e+21  4.61962 14.7689  121.351 0.0319482
1.94984e+21  4.6175 14.7584  121.572 0.0318402
1.90546e+21  4.61543 14.7481  125.975 0.032464
1.86209e+21  4.61341 14.7381  121.802 0.0322276
